"ent","Escolaridad","Salario_trim","Salario_trim_cv"
1,"Básica",4794.13551636572,0.0345681029811021
1,"Especialidad",12277.9478272903,0.166242026409339
1,"Media superior",4570.173350149,0.054603911363187
1,"Ninguno",2843.95040741781,0.209780225201797
1,"No sabe",2471.03697024346,0.682714793810954
1,"Universitario",6543.07293218209,0.0727086784905189
2,"Básica",7088.6787965866,0.0300953626524193
2,"Especialidad",8410.01058992637,0.159322608983044
2,"Media superior",6908.92049239047,0.0389877634430767
2,"Ninguno",6669.03320178449,0.119573148449584
2,"No sabe",6702.01019252548,0.492216243565915
2,"Universitario",7101.33400774651,0.0555174624812952
3,"Básica",10512.0467059532,0.0330460474966446
3,"Especialidad",20621.9824475865,0.166410836713784
3,"Media superior",11473.4099153155,0.036048681671759
3,"Ninguno",7231.31773879142,0.102039703786155
3,"No sabe",583.025830258303,1.00195204419053
3,"Universitario",15681.2605736378,0.0780696839932924
4,"Básica",6303.94935674068,0.025103550538785
4,"Especialidad",18506.0020553742,0.0789700850471176
4,"Media superior",8062.90570926336,0.0265809165181759
4,"Ninguno",4654.05835297479,0.0917758864106464
4,"No sabe",10466.6746987952,0.294717213135568
4,"Universitario",11032.0081558898,0.0294249413458977
5,"Básica",8531.44535233825,0.0225233954702377
5,"Especialidad",15690.7532130421,0.103184062363955
5,"Media superior",9418.49048695722,0.0279732017994847
5,"Ninguno",6184.67756708983,0.168172747071005
5,"No sabe",0,NA
5,"Universitario",10625.2703674467,0.0325821114719409
6,"Básica",7270.50258529515,0.035435212652506
6,"Especialidad",10743.3497112318,0.121568045423924
6,"Media superior",7650.08404399951,0.0354931127586841
6,"Ninguno",7192.79190437381,0.201304789513659
6,"No sabe",4759.74063400576,0.60466392527445
6,"Universitario",8560.29922282694,0.0574189268231869
7,"Básica",4180.98484160271,0.0485719524962316
7,"Especialidad",12079.8932902441,0.0836653484060162
7,"Media superior",5439.27515569437,0.0402628584668126
7,"Ninguno",3372.85886783756,0.0980026036078842
7,"No sabe",3867.82278481013,0.190298152130159
7,"Universitario",8463.91219254313,0.0397901986622771
8,"Básica",7434.77024264318,0.0259164715261124
8,"Especialidad",10713.2368108988,0.156586713829438
8,"Media superior",7733.08903848986,0.0351809716124683
8,"Ninguno",5494.64985440932,0.185012551263372
8,"No sabe",5567.06418449569,0.355571252932451
